name,style,viewBox,declared,est,est_n,est_ratio,scale_source,method,candidates,tag_is_top,top_margin,best_area_sf,mean_width_ft,stage,error,identify_ms,regions,stalls,aprons,drive_width,drive_length,throat_width,curb_radius
73d13c96_option_1.svg,class,1920x1080,,,0,,none,tagged,86,false,1.18,,,scale,,,,,,,,,
73d13c96_option_2.svg,class,1920x1080,,,0,,none,tagged,84,false,1.15,,,scale,,,,,,,,,
770b3c26_option_1.svg,class,1920x1080,,2.6413,12,0.444,estimated,tagged,1243,false,1.12,870,11.2,done,,4,DRIVE1,0,0,16.6,46.3,,
770b3c26_option_2.svg,class,1920x1080,,2.3772,16,0.45,estimated,tagged,1250,false,1.12,3645,11.3,identify,found non-noded intersection between LINESTRING ( 395.5721016321724 29,,,,,,,,
770b3c26_option_3.svg,class,1920x1080,,2.3772,20,0.45,estimated,tagged,1250,false,1.12,3794,12.7,done,,25,APRON2+DRIVE1,0,2,14.9,74.9,15,12.5
770b3c26_option_4.svg,class,1920x1080,,3.1696,24,0.6,estimated,tagged,1258,false,1.12,2591,12.5,done,,26,APRON2+DRIVE1,1,2,16.8,155.5,16.9,9.4
770b3c26_option_5.svg,class,1920x1080,,1.9426,24,0.385,estimated,tagged,1260,false,1.12,9000,20.1,done,,45,APRON4+DRIVE1+LOT1+STALL1,2,6,12.2,60.6,27.5,15.3
770b3c26_option_6.svg,class,1920x1080,,2.6413,38,0.471,estimated,tagged,1245,false,1.12,4958,17.8,done,,31,APRON3+DRIVE2+STALL1,1,4,20.2,111.1,20.4,11.3
770b3c26_option_7.svg,class,1920x1080,,2.6413,26,0.471,estimated,tagged,1245,false,1.12,6631,20.3,done,,24,APRON3+DRIVE3,0,7,20.2,126.9,20.4,11.3
77165f2e_option_1.svg,class,1920x1080,,2.2671,68,0.493,estimated,tagged,87,true,1.49,19251,23,done,,42,APRON1+DRIVE3+STALL3,5,1,24.5,137,21.6,12.7
77165f2e_option_2.svg,class,1920x1080,,2.2671,66,0.493,estimated,tagged,98,true,1.49,14723,20.9,done,,32,APRON2+DRIVE1,1,2,21.5,345.9,21.6,34.3
77165f2e_option_3.svg,class,1920x1080,,2.0386,108,0.459,estimated,tagged,90,true,1.15,24563,40.1,done,,18,APRON2+DRIVE3+LOT1,2,2,65.4,181.1,30.2,5.4
77165f2e_option_4.svg,class,1920x1080,,2.155,120,0.471,estimated,tagged,68,true,1.35,26565,37.2,done,,19,LOT1+STALL2,2,0,,,,
78450c10_option_1.svg,class,1920x1080,,2.5614,136,0.5,estimated,tagged,84,true,1.05,32429,69.5,done,,28,APRON1+LOT1+STALL2,2,1,,,22,10
78450c10_option_2.svg,class,1920x1080,,2.5614,104,0.5,estimated,tagged,84,true,1.06,30387,62.7,done,,15,APRON1+STALL1,2,1,,,22,10
78450c10_option_3.svg,class,1920x1080,,2.5614,104,0.5,estimated,tagged,84,true,1.06,30387,62.7,done,,24,APRON1+STALL1,2,1,,,22,10
78450c10_option_4.svg,class,1920x1080,,2.3508,120,0.459,estimated,tagged,103,true,2.47,20180,49,done,,23,STALL1,1,0,,,,
78890658_option_1.svg,class,1920x1080,,,0,,none,tagged,25,true,1.2,,,scale,,,,,,,,,
78890658_option_2.svg,class,1920x1080,,,0,,none,tagged,26,true,1.13,,,scale,,,,,,,,,
78890658_option_3.svg,class,1920x1080,,,0,,none,tagged,26,true,1.11,,,scale,,,,,,,,,
78d4ad8d_option_1.svg,class,1920x1080,,4.9214,104,0.5,estimated,tagged,47,false,1.63,7413,38.3,done,,8,DRIVE1+LOT1+STALL1,1,0,24,31.6,,
78d4ad8d_option_2.svg,class,1920x1080,,4.9214,104,0.5,estimated,tagged,47,false,1.63,7413,38.3,done,,8,DRIVE1+LOT1+STALL1,1,0,24,31.6,,
78d4ad8d_option_3.svg,class,1920x1080,,4.9214,104,0.5,estimated,tagged,57,false,1.63,7413,38.3,done,,8,DRIVE1+LOT1+STALL1,1,0,24,31.6,,
78d4ad8d_option_4.svg,class,1920x1080,,4.9214,104,0.5,estimated,tagged,56,false,1.63,7413,38.3,done,,8,DRIVE1+LOT1+STALL1,1,0,24,31.6,,
78d4ad8d_option_5.svg,class,1920x1080,,4.9214,104,0.5,estimated,tagged,38,false,1.63,7413,38.3,done,,8,DRIVE1+LOT1+STALL1,1,0,24,31.6,,
7b16f7c8_option_1.svg,class,1920x1080,,,0,,none,tagged,844,false,1.81,,,scale,,,,,,,,,
7b16f7c8_option_2.svg,class,1920x1080,,,0,,none,tagged,844,false,1.81,,,scale,,,,,,,,,
7b16f7c8_option_3.svg,class,1920x1080,,,0,,none,tagged,844,false,1.81,,,scale,,,,,,,,,
7d0958ee_option_1.svg,class,1920x1080,,4.2863,82,0.516,estimated,tagged,79,true,11.69,47977,25.3,done,,63,APRON1+STALL6,6,1,,,32.7,9.3
7d0958ee_option_2.svg,class,1920x1080,,4.0037,312,0.5,estimated,tagged,58,true,7.01,54988,27.1,done,,42,APRON1+DRIVE1+STALL6,6,1,28,209.3,35,10
7d0958ee_option_3.svg,class,1920x1080,,3.6745,100,0.459,estimated,tagged,87,true,10.61,65283,29.6,done,,45,APRON1+DRIVE2+STALL4,6,1,38.1,495.7,38.2,10.9
7d0958ee_option_4.svg,class,1920x1080,,4.2863,82,0.516,estimated,tagged,72,true,11.69,47977,25.3,done,,36,APRON1+STALL6,6,1,,,32.7,9.3
7d0958ee_option_5.svg,class,1920x1080,,4.2863,82,0.516,estimated,tagged,76,true,11.69,47977,25.3,done,,44,APRON1+STALL6,6,1,,,32.7,9.3
7d0958ee_option_6.svg,class,1920x1080,,4.2863,82,0.516,estimated,tagged,80,true,11.69,47977,25.3,done,,37,APRON1+STALL6,6,1,,,32.7,9.3
7d0958ee_option_7.svg,class,1920x1080,,3.8842,112,0.471,estimated,tagged,85,true,15.62,58424,28,done,,37,APRON1+DRIVE1+STALL4,6,1,28.9,215.7,36.1,10.3
7e7b2cdd_option_1.svg,class,1920x1080,,,0,,none,tagged,59,true,1.07,,,scale,,,,,,,,,
7e7b2cdd_option_2.svg,class,1920x1080,,,0,,none,tagged,59,true,1.27,,,scale,,,,,,,,,
7e7b2cdd_option_3.svg,class,1920x1080,,,0,,none,tagged,61,true,1.28,,,scale,,,,,,,,,
84c4846e_option_1.svg,class,1920x1080,,4.2863,82,0.516,estimated,tagged,79,true,11.69,47977,25.3,done,,34,APRON1+STALL6,6,1,,,32.7,9.3
84c4846e_option_2.svg,class,1920x1080,,4.0037,312,0.5,estimated,tagged,58,true,7.01,54988,27.1,done,,42,APRON1+DRIVE1+STALL6,6,1,28,209.3,35,10
84c4846e_option_4.svg,class,1920x1080,,4.2863,82,0.516,estimated,tagged,72,true,11.69,47977,25.3,done,,43,APRON1+STALL6,6,1,,,32.7,9.3
84c4846e_option_7.svg,class,1920x1080,,3.8842,112,0.471,estimated,tagged,85,true,15.62,58424,28,done,,44,APRON1+DRIVE1+STALL4,6,1,28.9,215.7,36.1,10.3
873f0fde_option_1.svg,class,1920x1080,,,0,,none,tagged,60,false,1.1,,,scale,,,,,,,,,
873f0fde_option_2.svg,class,1920x1080,,,0,,none,tagged,60,false,1.1,,,scale,,,,,,,,,
8759d415_option_1.svg,class,1920x1080,,2.1094,64,0.6,estimated,tagged,58,false,1.57,9038,36,done,,10,LOT1,0,0,,,,
8759d415_option_2.svg,class,1920x1080,,4.0896,52,0.471,estimated,tagged,57,true,1.06,33519,39.2,done,,41,DRIVE1,0,0,41.2,771.9,,
87f6dbf6_option_1.svg,class,1920x1080,,,0,,none,tagged,28,true,2.19,,,scale,,,,,,,,,
87f6dbf6_option_2.svg,class,1920x1080,,,0,,none,tagged,28,true,2.73,,,scale,,,,,,,,,
87f6dbf6_option_3.svg,class,1920x1080,,4.6095,24,0.5,estimated,tagged,34,true,3.29,2695,11.9,done,,16,APRON4,0,5,,,23.8,2
8bdd03b1_option_1.svg,class,1920x1080,,,0,,none,tagged,48,true,1.06,,,scale,,,,,,,,,
8bdd03b1_option_2.svg,class,1920x1080,,,0,,none,tagged,50,false,1.09,,,scale,,,,,,,,,
8edb287e_option_1.svg,class,1920x1080,,,0,,none,tagged,130,true,1.11,,,scale,,,,,,,,,
8edb287e_option_2.svg,class,1920x1080,,,0,,none,tagged,130,true,1.11,,,scale,,,,,,,,,
8edb287e_option_3.svg,class,1920x1080,,1.4623,86,0.5,estimated,tagged,127,true,1.66,29783,28.6,done,,50,APRON2+DRIVE2,0,3,25,318,25.1,15
8edb287e_option_4.svg,class,1920x1080,,1.4623,86,0.5,estimated,tagged,127,true,1.09,29783,28.6,done,,50,APRON2+DRIVE2,0,3,25,318,25.1,15
8edb287e_option_5.svg,class,1920x1080,,1.3811,160,0.472,estimated,tagged,88,true,1.9,56908,32.6,done,,108,APRON2+DRIVE1,2,4,30.7,31.4,26.5,15.9
8edb287e_option_6.svg,class,1920x1080,,,0,,none,tagged,83,true,2.08,,,scale,,,,,,,,,
