old_name,new_name,tag
00cda275_option_1.svg,00cda275_option_1_scale_not_supplied.svg,scale_not_supplied
012cb8cb_option_1.svg,012cb8cb_option_1_scale_not_supplied.svg,scale_not_supplied
012cb8cb_option_2.svg,012cb8cb_option_2_scale_not_supplied.svg,scale_not_supplied
03c8385b_option_1.svg,03c8385b_option_1_scale_not_supplied.svg,scale_not_supplied
03c8385b_option_2.svg,03c8385b_option_2_scale_not_supplied.svg,scale_not_supplied
03c8385b_option_3.svg,03c8385b_option_3_scale_not_supplied.svg,scale_not_supplied
03c8385b_option_4.svg,03c8385b_option_4_scale_not_supplied.svg,scale_not_supplied
03c8385b_option_5.svg,03c8385b_option_5_scale_not_supplied.svg,scale_not_supplied
044920ad_option_1.svg,044920ad_option_1_scale_not_supplied.svg,scale_not_supplied
044920ad_option_2.svg,044920ad_option_2_scale_not_supplied.svg,scale_not_supplied
044920ad_option_3.svg,044920ad_option_3_scale_not_supplied.svg,scale_not_supplied
04a3b128_option_1.svg,04a3b128_option_1_scale_not_supplied.svg,scale_not_supplied
04a3b128_option_2.svg,04a3b128_option_2_scale_not_supplied.svg,scale_not_supplied
04a3b128_option_3.svg,04a3b128_option_3_scale_not_supplied.svg,scale_not_supplied
07af836f_option_1.svg,07af836f_option_1_scale_not_supplied.svg,scale_not_supplied
07af836f_option_2.svg,07af836f_option_2_scale_not_supplied.svg,scale_not_supplied
08171cb3_option_1.svg,08171cb3_option_1_scale_not_supplied.svg,scale_not_supplied
08171cb3_option_2.svg,08171cb3_option_2_scale_not_supplied.svg,scale_not_supplied
08171cb3_option_3.svg,08171cb3_option_3_scale_not_supplied.svg,scale_not_supplied
08171cb3_option_4.svg,08171cb3_option_4_scale_not_supplied.svg,scale_not_supplied
08a9e7dd_option_1.svg,08a9e7dd_option_1_scale_not_supplied.svg,scale_not_supplied
08a9e7dd_option_10.svg,08a9e7dd_option_10_scale_not_supplied.svg,scale_not_supplied
08a9e7dd_option_2.svg,08a9e7dd_option_2_scale_not_supplied.svg,scale_not_supplied
08a9e7dd_option_3.svg,08a9e7dd_option_3_scale_not_supplied.svg,scale_not_supplied
08a9e7dd_option_4.svg,08a9e7dd_option_4_scale_not_supplied.svg,scale_not_supplied
08a9e7dd_option_5.svg,08a9e7dd_option_5_scale_not_supplied.svg,scale_not_supplied
08a9e7dd_option_6.svg,08a9e7dd_option_6_scale_not_supplied.svg,scale_not_supplied
08a9e7dd_option_7.svg,08a9e7dd_option_7_scale_not_supplied.svg,scale_not_supplied
08a9e7dd_option_8.svg,08a9e7dd_option_8_scale_not_supplied.svg,scale_not_supplied
093599c9_option_1.svg,093599c9_option_1_scale_not_supplied.svg,scale_not_supplied
093599c9_option_2.svg,093599c9_option_2_scale_not_supplied.svg,scale_not_supplied
093599c9_option_3.svg,093599c9_option_3_scale_not_supplied.svg,scale_not_supplied
0963f837_option_1.svg,0963f837_option_1_scale_not_supplied.svg,scale_not_supplied
0a1f4598_option_1.svg,0a1f4598_option_1_scale_not_supplied.svg,scale_not_supplied
0a1f4598_option_2.svg,0a1f4598_option_2_scale_not_supplied.svg,scale_not_supplied
0a1f4598_option_3.svg,0a1f4598_option_3_scale_not_supplied.svg,scale_not_supplied
0a1f4598_option_4.svg,0a1f4598_option_4_scale_not_supplied.svg,scale_not_supplied
0a1f4598_option_5.svg,0a1f4598_option_5_scale_not_supplied.svg,scale_not_supplied
0a1f4598_option_6.svg,0a1f4598_option_6_scale_not_supplied.svg,scale_not_supplied
0a1f4598_option_7.svg,0a1f4598_option_7_scale_not_supplied.svg,scale_not_supplied
0c93115c_option_1.svg,0c93115c_option_1_scale_not_supplied.svg,scale_not_supplied
0c93115c_option_2.svg,0c93115c_option_2_scale_not_supplied.svg,scale_not_supplied
0e25bc46_option_1.svg,0e25bc46_option_1_scale_not_supplied.svg,scale_not_supplied
0e25bc46_option_2.svg,0e25bc46_option_2_scale_not_supplied.svg,scale_not_supplied
1097233b_option_1.svg,1097233b_option_1_scale_not_supplied.svg,scale_not_supplied
1097233b_option_2.svg,1097233b_option_2_scale_not_supplied.svg,scale_not_supplied
1097233b_option_3.svg,1097233b_option_3_scale_not_supplied.svg,scale_not_supplied
10e25850_option_1.svg,10e25850_option_1_scale_not_supplied.svg,scale_not_supplied
1a4cbed8_option_1.svg,1a4cbed8_option_1_scale_not_supplied.svg,scale_not_supplied
1a4cbed8_option_2.svg,1a4cbed8_option_2_scale_not_supplied.svg,scale_not_supplied
1a4cbed8_option_3.svg,1a4cbed8_option_3_scale_not_supplied.svg,scale_not_supplied
1b4c7513_option_1.svg,1b4c7513_option_1_scale_not_supplied.svg,scale_not_supplied
1b4c7513_option_2.svg,1b4c7513_option_2_scale_not_supplied.svg,scale_not_supplied
1c5f6fd9_option_1.svg,1c5f6fd9_option_1_scale_not_supplied.svg,scale_not_supplied
1c7ec419_option_1.svg,1c7ec419_option_1_scale_not_supplied.svg,scale_not_supplied
1da637e8_option_1.svg,1da637e8_option_1_scale_supplied_and_drive_not_found.svg,scale_supplied_and_drive_not_found
1da637e8_option_2.svg,1da637e8_option_2_scale_supplied_and_drive_not_found.svg,scale_supplied_and_drive_not_found
1da637e8_option_3.svg,1da637e8_option_3_scale_supplied_and_drive_found.svg,scale_supplied_and_drive_found
1da637e8_option_4.svg,1da637e8_option_4_scale_supplied_and_drive_found.svg,scale_supplied_and_drive_found
1da637e8_option_5.svg,1da637e8_option_5_scale_supplied_and_drive_not_found.svg,scale_supplied_and_drive_not_found
1dd64b6b_option_1.svg,1dd64b6b_option_1_scale_not_supplied.svg,scale_not_supplied
1dd64b6b_option_2.svg,1dd64b6b_option_2_scale_not_supplied.svg,scale_not_supplied
1dd64b6b_option_3.svg,1dd64b6b_option_3_scale_not_supplied.svg,scale_not_supplied
1dd64b6b_option_4.svg,1dd64b6b_option_4_scale_not_supplied.svg,scale_not_supplied
1dd64b6b_option_5.svg,1dd64b6b_option_5_scale_not_supplied.svg,scale_not_supplied
1dd64b6b_option_6.svg,1dd64b6b_option_6_scale_not_supplied.svg,scale_not_supplied
20ef7a5c_option_1.svg,20ef7a5c_option_1_scale_not_supplied.svg,scale_not_supplied
20ef7a5c_option_2.svg,20ef7a5c_option_2_scale_not_supplied.svg,scale_not_supplied
21b16bff_option_1.svg,21b16bff_option_1_scale_supplied_and_drive_found.svg,scale_supplied_and_drive_found
21b16bff_option_10.svg,21b16bff_option_10_scale_supplied_and_drive_found.svg,scale_supplied_and_drive_found
21b16bff_option_11.svg,21b16bff_option_11_scale_supplied_and_drive_found.svg,scale_supplied_and_drive_found
21b16bff_option_12.svg,21b16bff_option_12_scale_supplied_and_drive_found.svg,scale_supplied_and_drive_found
21b16bff_option_13.svg,21b16bff_option_13_scale_supplied_and_drive_found.svg,scale_supplied_and_drive_found
21b16bff_option_14.svg,21b16bff_option_14_scale_supplied_and_drive_found.svg,scale_supplied_and_drive_found
21b16bff_option_15.svg,21b16bff_option_15_scale_supplied_and_drive_found.svg,scale_supplied_and_drive_found
21b16bff_option_2.svg,21b16bff_option_2_scale_supplied_and_drive_found.svg,scale_supplied_and_drive_found
21b16bff_option_3.svg,21b16bff_option_3_scale_supplied_and_drive_found.svg,scale_supplied_and_drive_found
21b16bff_option_4.svg,21b16bff_option_4_scale_supplied_and_drive_found.svg,scale_supplied_and_drive_found
21b16bff_option_7.svg,21b16bff_option_7_scale_supplied_and_drive_found.svg,scale_supplied_and_drive_found
21b16bff_option_8.svg,21b16bff_option_8_scale_supplied_and_drive_found.svg,scale_supplied_and_drive_found
23a219ff_option_1.svg,23a219ff_option_1_scale_supplied_and_drive_found.svg,scale_supplied_and_drive_found
23a219ff_option_4.svg,23a219ff_option_4_scale_supplied_and_drive_found.svg,scale_supplied_and_drive_found
23a219ff_option_5.svg,23a219ff_option_5_scale_supplied_and_drive_not_found.svg,scale_supplied_and_drive_not_found
23a219ff_option_6.svg,23a219ff_option_6_scale_supplied_and_drive_found.svg,scale_supplied_and_drive_found
23a219ff_option_7.svg,23a219ff_option_7_scale_supplied_and_drive_found.svg,scale_supplied_and_drive_found
23a219ff_option_8.svg,23a219ff_option_8_scale_supplied_and_drive_found.svg,scale_supplied_and_drive_found
24994d13_option_1.svg,24994d13_option_1_scale_not_supplied.svg,scale_not_supplied
24994d13_option_10.svg,24994d13_option_10_scale_not_supplied.svg,scale_not_supplied
24994d13_option_11.svg,24994d13_option_11_scale_not_supplied.svg,scale_not_supplied
24994d13_option_12.svg,24994d13_option_12_scale_not_supplied.svg,scale_not_supplied
24994d13_option_13.svg,24994d13_option_13_scale_not_supplied.svg,scale_not_supplied
24994d13_option_14.svg,24994d13_option_14_scale_not_supplied.svg,scale_not_supplied
24994d13_option_15.svg,24994d13_option_15_scale_not_supplied.svg,scale_not_supplied
24994d13_option_2.svg,24994d13_option_2_scale_not_supplied.svg,scale_not_supplied
24994d13_option_3.svg,24994d13_option_3_scale_not_supplied.svg,scale_not_supplied
24994d13_option_4.svg,24994d13_option_4_scale_not_supplied.svg,scale_not_supplied
24994d13_option_5.svg,24994d13_option_5_scale_not_supplied.svg,scale_not_supplied
24994d13_option_6.svg,24994d13_option_6_scale_not_supplied.svg,scale_not_supplied
24994d13_option_7.svg,24994d13_option_7_scale_not_supplied.svg,scale_not_supplied
24994d13_option_8.svg,24994d13_option_8_scale_not_supplied.svg,scale_not_supplied
24994d13_option_9.svg,24994d13_option_9_scale_not_supplied.svg,scale_not_supplied
266dfb42_option_1.svg,266dfb42_option_1_scale_not_supplied.svg,scale_not_supplied
266dfb42_option_2.svg,266dfb42_option_2_scale_not_supplied.svg,scale_not_supplied
266dfb42_option_3.svg,266dfb42_option_3_scale_not_supplied.svg,scale_not_supplied
266dfb42_option_4.svg,266dfb42_option_4_scale_not_supplied.svg,scale_not_supplied
266dfb42_option_5.svg,266dfb42_option_5_scale_not_supplied.svg,scale_not_supplied
266dfb42_option_6.svg,266dfb42_option_6_scale_not_supplied.svg,scale_not_supplied
266dfb42_option_7.svg,266dfb42_option_7_scale_not_supplied.svg,scale_not_supplied
271d4c99_option_1.svg,271d4c99_option_1_scale_not_supplied.svg,scale_not_supplied
271d4c99_option_2.svg,271d4c99_option_2_scale_not_supplied.svg,scale_not_supplied
271d4c99_option_3.svg,271d4c99_option_3_scale_not_supplied.svg,scale_not_supplied
271d4c99_option_4.svg,271d4c99_option_4_scale_not_supplied.svg,scale_not_supplied
271d4c99_option_5.svg,271d4c99_option_5_scale_not_supplied.svg,scale_not_supplied
271d4c99_option_6.svg,271d4c99_option_6_scale_not_supplied.svg,scale_not_supplied
29c0acaf_option_1.svg,29c0acaf_option_1_scale_not_supplied.svg,scale_not_supplied
29c0acaf_option_2.svg,29c0acaf_option_2_scale_not_supplied.svg,scale_not_supplied
2ac68c85_option_1.svg,2ac68c85_option_1_scale_supplied_and_drive_found.svg,scale_supplied_and_drive_found
2ac68c85_option_3.svg,2ac68c85_option_3_scale_supplied_and_drive_found.svg,scale_supplied_and_drive_found
2c0e104a_option_1.svg,2c0e104a_option_1_scale_not_supplied.svg,scale_not_supplied
2c0e104a_option_2.svg,2c0e104a_option_2_scale_not_supplied.svg,scale_not_supplied
2c0e104a_option_3.svg,2c0e104a_option_3_scale_not_supplied.svg,scale_not_supplied
3175b47b_option_1.svg,3175b47b_option_1_scale_not_supplied.svg,scale_not_supplied
3175b47b_option_2.svg,3175b47b_option_2_scale_not_supplied.svg,scale_not_supplied
3175b47b_option_3.svg,3175b47b_option_3_scale_not_supplied.svg,scale_not_supplied
31bbf5c4_option_1.svg,31bbf5c4_option_1_scale_not_supplied.svg,scale_not_supplied
31bbf5c4_option_2.svg,31bbf5c4_option_2_scale_not_supplied.svg,scale_not_supplied
36f858e3_option_1.svg,36f858e3_option_1_scale_not_supplied.svg,scale_not_supplied
36f858e3_option_2.svg,36f858e3_option_2_scale_not_supplied.svg,scale_not_supplied
3890c066_option_1.svg,3890c066_option_1_scale_not_supplied.svg,scale_not_supplied
3890c066_option_2.svg,3890c066_option_2_scale_not_supplied.svg,scale_not_supplied
3890c066_option_3.svg,3890c066_option_3_scale_not_supplied.svg,scale_not_supplied
392fc213_option_1.svg,392fc213_option_1_scale_not_supplied.svg,scale_not_supplied
392fc213_option_2.svg,392fc213_option_2_scale_not_supplied.svg,scale_not_supplied
392fc213_option_3.svg,392fc213_option_3_scale_not_supplied.svg,scale_not_supplied
392fc213_option_5.svg,392fc213_option_5_scale_not_supplied.svg,scale_not_supplied
3bc9413f_option_1.svg,3bc9413f_option_1_scale_not_supplied.svg,scale_not_supplied
3bc9413f_option_2.svg,3bc9413f_option_2_scale_not_supplied.svg,scale_not_supplied
3f23e4fb_option_1.svg,3f23e4fb_option_1_scale_not_supplied.svg,scale_not_supplied
3f23e4fb_option_2.svg,3f23e4fb_option_2_scale_not_supplied.svg,scale_not_supplied
3f23e4fb_option_3.svg,3f23e4fb_option_3_scale_not_supplied.svg,scale_not_supplied
3f23e4fb_option_4.svg,3f23e4fb_option_4_scale_not_supplied.svg,scale_not_supplied
3fc882e8_option_1.svg,3fc882e8_option_1_scale_not_supplied.svg,scale_not_supplied
423976a6_option_1.svg,423976a6_option_1_scale_not_supplied.svg,scale_not_supplied
42dddc11_option_1.svg,42dddc11_option_1_scale_not_supplied.svg,scale_not_supplied
4400bfa9_option_1.svg,4400bfa9_option_1_scale_not_supplied.svg,scale_not_supplied
44161402_option_2.svg,44161402_option_2_scale_not_supplied.svg,scale_not_supplied
464cfcaf_option_1.svg,464cfcaf_option_1_scale_not_supplied.svg,scale_not_supplied
4b30ad4b_option_1.svg,4b30ad4b_option_1_scale_not_supplied.svg,scale_not_supplied
4b30ad4b_option_2.svg,4b30ad4b_option_2_scale_not_supplied.svg,scale_not_supplied
